_id,name_cn,name_en,type,show_time,score,avatar
1242431,最好的我们,My Best Summer,"爱情,青春",2019-06-06中国大陆上映,8.7,https://p0.meituan.net/movie/b6e77d67efdc6ac89a52b956ead366ae5785152.jpg@1l_1e_1c_128w_180h
249033,明日战记,明日戰記,"动作,科幻,冒险",2019中国香港上映,暂无评分,https://p1.meituan.net/movie/8eb19cb85aa1557624612653e85af841267800.jpg@1l_1e_1c_128w_180h
1336673,陈奕迅线上慈善演唱会,Live is so much better with Music Eason Chan Charity Concert,"音乐,真人秀",2020-07-11中国香港上映,暂无评分,https://p0.meituan.net/movie/20d33103b6fcb081a653c18ce678043052216.jpg@1l_1e_1c_128w_180h
1250662,大约在冬季,Somewhere Winter,"剧情,爱情",2019-11-15中国大陆上映,8.4,https://p0.meituan.net/movie/06aafa51a56e6e1888095373a1d00c3d1123868.jpg@1l_1e_1c_128w_180h
1261678,光天化日,,"动作,爱情,犯罪",2019中国大陆上映,暂无评分,https://p0.meituan.net/movie/5be3b1250d775f8ae155c91613496e49115034.jpg@1l_1e_1c_128w_180h
1132397,寒战3,han zhan 3,"剧情,动作,犯罪",2019中国香港上映,暂无评分,https://p1.meituan.net/movie/dcebc0f33d92e1d4e967d8a24a56b95a55977.jpg@1l_1e_1c_128w_180h
1198178,动物世界,Animal World,"动作,悬疑,冒险",2018-06-29中国大陆上映,8.5,https://p1.meituan.net/movie/c70b5206c096ca2c309383250162ed69393584.jpg@1l_1e_1c_128w_180h
343720,后来的我们,Us and Them,"剧情,爱情",2018-04-28中国大陆上映,8.3,https://p0.meituan.net/movie/9570b9680d1b72ff308ab2427b72db1c404682.jpg@1l_1e_1c_128w_180h
78405,速度与激情7,Furious 7,"动作,惊悚,犯罪",2015-04-12中国大陆上映,9.6,https://p1.meituan.net/movie/b22bc4b0cf71916e6c2f4c335c3a66a0300236.jpg@1l_1e_1c_128w_180h
247186,封神传奇,League of Gods,"动作,奇幻,古装",2016-07-29中国大陆上映,6.2,https://p0.meituan.net/movie/274ae599e5e8c050c19d36c98e41c9bd505160.jpg@1l_1e_1c_128w_180h
1277457,麦路人,麥路人,剧情,2019-10-29日本上映,7.2,https://p0.meituan.net/movie/da5893324abb0ea82d87f6f386eddae582129.jpg@1l_1e_1c_128w_180h
15645,哈利·波特与混血王子,Harry Potter and the Half-Blood Prince,"奇幻,冒险",2009-07-15中国大陆上映,8.6,https://p0.meituan.net/movie/d97d0139908c6af48c8d0332ed6686f3382867.jpg@1l_1e_1c_128w_180h
